"Pair_Name","Ligand_ApprovedSymbol","Receptor_ApprovedSymbol"
"A2M_LRP1","A2m","Lrp1"
"AANAT_MTNR1A","Aanat","Mtnr1a"
"AANAT_MTNR1B","Aanat","Mtnr1b"
"ACE_AGTR2","Ace","Agtr2"
"ACE_BDKRB2","Ace","Bdkrb2"
"ADAM10_AXL","Adam10","Axl"
"ADAM10_EPHA3","Adam10","Epha3"
"ADAM12_ITGA9","Adam12","Itga9"
"ADAM12_ITGB1","Adam12","Itgb1"
"ADAM12_SDC4","Adam12","Sdc4"
"ADAM15_ITGA5","Adam15","Itga5"
"ADAM15_ITGA9","Adam15","Itga9"
"ADAM15_ITGAV","Adam15","Itgav"
"ADAM15_ITGB1","Adam15","Itgb1"
"ADAM15_ITGB3","Adam15","Itgb3"
"ADAM17_ERBB4","Adam17","Erbb4"
"ADAM17_ITGA5","Adam17","Itga5"
"ADAM17_ITGB1","Adam17","Itgb1"
"ADAM17_NOTCH1","Adam17","Notch1"
"ADAM23_ITGA5","Adam23","Itga5"
"ADAM23_ITGB3","Adam23","Itgb3"
"ADAM28_ITGA4","Adam28","Itga4"
"ADAM2_CD9","Adam2","Cd9"
"ADAM2_ITGA6","Adam2","Itga6"
"ADAM2_ITGA9","Adam2","Itga9"
"ADAM2_ITGB1","Adam2","Itgb1"
"ADAM2_ITGB7","Adam2","Itgb7"
"ADAM9_ITGA3","Adam9","Itga3"
"ADAM9_ITGA6","Adam9","Itga6"
"ADAM9_ITGAV","Adam9","Itgav"
"ADAM9_ITGB1","Adam9","Itgb1"
"ADAM9_ITGB5","Adam9","Itgb5"
"ADCYAP1_ADCYAP1R1","Adcyap1","Adcyap1r1"
"ADCYAP1_SCTR","Adcyap1","Sctr"
"ADCYAP1_VIPR1","Adcyap1","Vipr1"
"ADCYAP1_VIPR2","Adcyap1","Vipr2"
"ADIPOQ_ADIPOR1","Adipoq","Adipor1"
"ADIPOQ_ADIPOR2","Adipoq","Adipor2"
"ADM2_CALCR","Adm2","Calcr"
"ADM2_CALCRL","Adm2","Calcrl"
"ADM2_RAMP1","Adm2","Ramp1"
"ADM_CALCR","Adm","Calcr"
"ADM_CALCRL","Adm","Calcrl"
"ADM_GPR182","Adm","Gpr182"
"ADM_RAMP2","Adm","Ramp2"
"AGRN_ATP1A3","Agrn","Atp1a3"
"AGRN_LRP4","Agrn","Lrp4"
"AGRN_MUSK","Agrn","Musk"
"AGRP_MC3R","Agrp","Mc3r"
"AGRP_MC4R","Agrp","Mc4r"
"AGRP_MC5R","Agrp","Mc5r"
"AGRP_SDC3","Agrp","Sdc3"
"AGT_AGTR1","Agt","Agtr1a"
"AGT_AGTR2","Agt","Agtr2"
"AGT_LRP2","Agt","Lrp2"
"AGT_MAS1","Agt","Mas1"
"AHSG_INSR","Ahsg","Insr"
"ALB_LRP2","Alb","Lrp2"
"AMELY_LAMP1","Amelx","Lamp1"
"AMH_ACVR1","Amh","Acvr1"
"AMH_AMHR2","Amh","Amhr2"
"AMH_EGFR","Amh","Egfr"
"ANGPT1_ITGA5","Angpt1","Itga5"
"ANGPT1_TEK","Angpt1","Tek"
"ANGPT1_TIE1","Angpt1","Tie1"
"ANGPT2_TEK","Angpt2","Tek"
"ANGPT4_TEK","Angpt4","Tek"
"ANGPTL1_TEK","Angptl1","Tek"
"ANGPTL3_ITGA5","Angptl3","Itga5"
"ANGPTL3_ITGAV","Angptl3","Itgav"
"ANGPTL3_ITGB3","Angptl3","Itgb3"
"ANXA1_DYSF","Anxa1","Dysf"
"ANXA1_EGFR","Anxa1","Egfr"
"ANXA1_FPR1","Anxa1","Fpr1"
"ANXA1_FPR2","Anxa1","Fpr2"
"APLN_APLNR","Apln","Aplnr"
"APOB_LDLR","Apob","Ldlr"
"APOB_LRP2","Apob","Lrp2"
"APOB_LSR","Apob","Lsr"
"APOB_OLR1","Apob","Olr1"
"APOD_LEPR","Apod","Lepr"
"APOE_LDLR","Apoe","Ldlr"
"APOE_LRP1","Apoe","Lrp1"
"APOE_LRP2","Apoe","Lrp2"
"APOE_LRP5","Apoe","Lrp5"
"APOE_LRP8","Apoe","Lrp8"
"APOE_SCARB1","Apoe","Scarb1"
"APOE_SORL1","Apoe","Sorl1"
"APOE_VLDLR","Apoe","Vldlr"
"APP_CAV1","App","Cav1"
"APP_CD74","App","Cd74"
"APP_FPR2","App","Fpr2"
"APP_GPC1","App","Gpc1"
"APP_LRP1","App","Lrp1"
"APP_NCSTN","App","Ncstn"
"APP_TNFRSF21","App","Tnfrsf21"
"AREG_EGFR","Areg","Egfr"
"AREG_ERBB3","Areg","Erbb3"
"ARF1_CHRM3","Arf1","Chrm3"
"ARF1_INSR","Arf1","Insr"
"ARF1_PLD2","Arf1","Pld2"
"ARTN_GFRA1","Artn","Gfra1"
"ARTN_GFRA3","Artn","Gfra3"
"ARTN_RET","Artn","Ret"
"ASIP_ATRN","a","Atrn"
"ASIP_F11R","a","F11r"
"ASIP_MC1R","a","Mc1r"
"ASIP_MC2R","a","Mc2r"
"ASIP_MC3R","a","Mc3r"
"ASIP_MC4R","a","Mc4r"
"ASIP_MC5R","a","Mc5r"
"AVP_AVPR1A","Avp","Avpr1a"
"AVP_AVPR1B","Avp","Avpr1b"
"AVP_AVPR2","Avp","Avpr2"
"AVP_OXTR","Avp","Oxtr"
"AZGP1_ITGAV","Azgp1","Itgav"
"B2M_HFE","B2m","Hfe"
"BDNF_NGFR","Bdnf","Ngfr"
"BDNF_NTRK2","Bdnf","Ntrk2"
"BDNF_SORT1","Bdnf","Sort1"
"BGN_TLR2","Bgn","Tlr2"
"BGN_TLR4","Bgn","Tlr4"
"BMP10_ACVR2A","Bmp10","Acvr2a"
"BMP10_ACVRL1","Bmp10","Acvrl1"
"BMP10_BMPR1A","Bmp10","Bmpr1a"
"BMP10_BMPR1B","Bmp10","Bmpr1b"
"BMP10_BMPR2","Bmp10","Bmpr2"
"BMP10_ENG","Bmp10","Eng"
"BMP15_ACVR2A","Bmp15","Acvr2a"
"BMP15_BMPR1A","Bmp15","Bmpr1a"
"BMP15_BMPR1B","Bmp15","Bmpr1b"
"BMP15_BMPR2","Bmp15","Bmpr2"
"BMP2_ACVR1","Bmp2","Acvr1"
"BMP2_ACVR2A","Bmp2","Acvr2a"
"BMP2_ACVR2B","Bmp2","Acvr2b"
"BMP2_BMPR1A","Bmp2","Bmpr1a"
"BMP2_BMPR1B","Bmp2","Bmpr1b"
"BMP2_BMPR2","Bmp2","Bmpr2"
"BMP2_ENG","Bmp2","Eng"
"BMP2_HFE2","Bmp2","Hfe2"
"BMP3_ACVR2B","Bmp3","Acvr2b"
"BMP4_BMPR1A","Bmp4","Bmpr1a"
"BMP4_BMPR1B","Bmp4","Bmpr1b"
"BMP4_BMPR2","Bmp4","Bmpr2"
"BMP5_BMPR1A","Bmp5","Bmpr1a"
"BMP6_ACVR1","Bmp6","Acvr1"
"BMP6_ACVR2A","Bmp6","Acvr2a"
"BMP6_BMPR1A","Bmp6","Bmpr1a"
"BMP6_BMPR1B","Bmp6","Bmpr1b"
"BMP6_BMPR2","Bmp6","Bmpr2"
"BMP7_ACVR1","Bmp7","Acvr1"
"BMP7_ACVR2A","Bmp7","Acvr2a"
"BMP7_ACVR2B","Bmp7","Acvr2b"
"BMP7_BMPR1A","Bmp7","Bmpr1a"
"BMP7_BMPR1B","Bmp7","Bmpr1b"
"BMP7_BMPR2","Bmp7","Bmpr2"
"BMP7_ENG","Bmp7","Eng"
"BST1_CAV1","Bst1","Cav1"
"BTC_EGFR","Btc","Egfr"
"BTC_ERBB2","Btc","Erbb2"
"BTC_ERBB3","Btc","Erbb3"
"BTC_ERBB4","Btc","Erbb4"
"BTLA_CD79A","Btla","Cd79a"
"BTLA_TNFRSF14","Btla","Tnfrsf14"
"BTLA_VTCN1","Btla","Vtcn1"
"C1QA_CD93","C1qa","Cd93"
"C1QA_CSPG4","C1qa","Cspg4"
"C1QB_LRP1","C1qb","Lrp1"
"C1QTNF1_AVPR2","C1qtnf1","Avpr2"
"C1QTNF5_MFRP","C1qtnf5","Mfrp"
"C3_C3AR1","C3","C3ar1"
"C3_C5AR2","C3","C5ar2"
"C3_CD19","C3","Cd19"
"C3_CD46","C3","Cd46"
"C3_ITGAM","C3","Itgam"
"C3_ITGAX","C3","Itgax"
"C3_ITGB2","C3","Itgb2"
"C3_LRP1","C3","Lrp1"
"C5_C5AR1","Hc","C5ar1"
"C5_C5AR2","Hc","C5ar2"
"CALCB_CALCR","Calca","Calcr"
"CALCB_CALCRL","Calca","Calcrl"
"CALCB_RAMP1","Calca","Ramp1"
"CALR_ITGA2B","Calr","Itga2b"
"CALR_ITGA3","Calr","Itga3"
"CALR_ITGAV","Calr","Itgav"
"CALR_LRP1","Calr","Lrp1"
"CALR_MTNR1A","Calr","Mtnr1a"
"CALR_SCARF1","Calr","Scarf1"
"CALR_TSHR","Calr","Tshr"
"CAMP_FPR2","Camp","Fpr2"
"CCK_CCKAR","Cck","Cckar"
"CCK_CCKBR","Cck","Cckbr"
"CCL11_ACKR2","Ccl11","Ackr2"
"CCL11_ACKR4","Ccl11","Ackr4"
"CCL11_CCR2","Ccl11","Ccr2"
"CCL11_CCR3","Ccl11","Ccr3"
"CCL11_CCR5","Ccl11","Ccr5"
"CCL11_CXCR3","Ccl11","Cxcr3"
"CCL13_ACKR2","Ccl2","Ackr2"
"CCL13_ACKR4","Ccl2","Ackr4"
"CCL13_CCR1","Ccl2","Ccr1"
"CCL13_CCR2","Ccl2","Ccr2"
"CCL13_CCR3","Ccl2","Ccr3"
"CCL13_CCR5","Ccl2","Ccr5"
"CCL13_CXCR3","Ccl2","Cxcr3"
"CCL17_CCR4","Ccl17","Ccr4"
"CCL17_CCR8","Ccl17","Ccr8"
"CCL1_CCR8","Ccl1","Ccr8"
"CCL20_CCR6","Ccl20","Ccr6"
"CCL20_CXCR3","Ccl20","Cxcr3"
"CCL22_CCR4","Ccl22","Ccr4"
"CCL24_CCR2","Ccl24","Ccr2"
"CCL24_CCR3","Ccl24","Ccr3"
"CCL25_ACKR2","Ccl25","Ackr2"
"CCL25_ACKR4","Ccl25","Ackr4"
"CCL25_CCR10","Ccl25","Ccr10"
"CCL25_CCR9","Ccl25","Ccr9"
"CCL28_ACKR2","Ccl28","Ackr2"
"CCL28_CCR10","Ccl28","Ccr10"
"CCL28_CCR3","Ccl28","Ccr3"
"CCL2_ACKR2","Ccl12","Ackr2"
"CCL2_ACKR4","Ccl12","Ackr4"
"CCL2_CCR1","Ccl12","Ccr1"
"CCL2_CCR10","Ccl12","Ccr10"
"CCL2_CCR2","Ccl12","Ccr2"
"CCL2_CCR3","Ccl12","Ccr3"
"CCL2_CCR4","Ccl12","Ccr4"
"CCL2_CCR5","Ccl12","Ccr5"
"CCL3L3_ACKR2","Ccl3","Ackr2"
"CCL3L3_CCR5","Ccl3","Ccr5"
"CCL4_ACKR2","Ccl4","Ackr2"
"CCL4_CCR1","Ccl4","Ccr1"
"CCL4_CCR3","Ccl4","Ccr3"
"CCL4_CCR5","Ccl4","Ccr5"
"CCL4_CCR8","Ccl4","Ccr8"
"CCL5_ACKR2","Ccl5","Ackr2"
"CCL5_ACKR4","Ccl5","Ackr4"
"CCL5_CCR1","Ccl5","Ccr1"
"CCL5_CCR3","Ccl5","Ccr3"
"CCL5_CCR4","Ccl5","Ccr4"
"CCL5_CCR5","Ccl5","Ccr5"
"CCL5_CXCR3","Ccl5","Cxcr3"
"CCL5_GPR75","Ccl5","Gpr75"
"CCL5_SDC1","Ccl5","Sdc1"
"CCL5_SDC4","Ccl5","Sdc4"
"CD14_ITGA4","Cd14","Itga4"
"CD14_ITGB1","Cd14","Itgb1"
"CD34_SELL","Cd34","Sell"
"CD40LG_CD40","Cd40lg","Cd40"
"CD5L_CD5","Cd5l","Cd5"
"CD70_CD27","Cd70","Cd27"
"CDH1_EGFR","Cdh1","Egfr"
"CDH1_IGF1R","Cdh1","Igf1r"
"CDH1_ITGAE","Cdh1","Itgae"
"CDH1_ITGB7","Cdh1","Itgb7"
"CDH1_PTPRF","Cdh1","Ptprf"
"CDH1_PTPRM","Cdh1","Ptprm"
"CEL_CXCR4","Cel","Cxcr4"
"CFH_ITGAM","Cfh","Itgam"
"CFH_SELL","Cfh","Sell"
"CGA_FSHR","Cga","Fshr"
"CGA_LHCGR","Cga","Lhcgr"
"CGA_TSHR","Cga","Tshr"
"CGN_F11R","Cgn","F11r"
"CHAD_ITGA2","Chad","Itga2"
"CHAD_ITGB1","Chad","Itgb1"
"CLCF1_CNTFR","Clcf1","Cntfr"
"CLCF1_CRLF1","Clcf1","Crlf1"
"CLCF1_IL6ST","Clcf1","Il6st"
"CLCF1_LIFR","Clcf1","Lifr"
"CNTF_CNTFR","Cntf","Cntfr"
"CNTF_IL6R","Cntf","Il6ra"
"CNTF_IL6ST","Cntf","Il6st"
"CNTF_LIFR","Cntf","Lifr"
"CNTN2_CNTN1","Cntn2","Cntn1"
"CNTN2_CNTNAP2","Cntn2","Cntnap2"
"CNTN2_NRCAM","Cntn2","Nrcam"
"CNTN4_PTPRG","Cntn4","Ptprg"
"COL11A1_DDR1","Col11a1","Ddr1"
"COL14A1_CD44","Col14a1","Cd44"
"COL18A1_GPC1","Col18a1","Gpc1"
"COL18A1_GPC4","Col18a1","Gpc4"
"COL18A1_ITGA5","Col18a1","Itga5"
"COL18A1_ITGB1","Col18a1","Itgb1"
"COL18A1_KDR","Col18a1","Kdr"
"COL1A1_CD36","Col1a1","Cd36"
"COL1A1_CD44","Col1a1","Cd44"
"COL1A1_CD93","Col1a1","Cd93"
"COL1A1_DDR1","Col1a1","Ddr1"
"COL1A1_DDR2","Col1a1","Ddr2"
"COL1A1_ITGA11","Col1a1","Itga11"
"COL1A1_ITGA2","Col1a1","Itga2"
"COL1A1_ITGA5","Col1a1","Itga5"
"COL1A1_ITGB1","Col1a1","Itgb1"
"COL1A1_TMPRSS6","Col1a1","Tmprss6"
"COL1A2_CD36","Col1a2","Cd36"
"COL1A2_CD44","Col1a2","Cd44"
"COL1A2_CD93","Col1a2","Cd93"
"COL1A2_ITGA2","Col1a2","Itga2"
"COL1A2_ITGA2B","Col1a2","Itga2b"
"COL1A2_ITGB3","Col1a2","Itgb3"
"COL2A1_DDR1","Col2a1","Ddr1"
"COL2A1_ITGA10","Col2a1","Itga10"
"COL2A1_ITGA2","Col2a1","Itga2"
"COL2A1_ITGA2B","Col2a1","Itga2b"
"COL2A1_ITGB1","Col2a1","Itgb1"
"COL2A1_MAG","Col2a1","Mag"
"COL2A1_TNFRSF10A","Col2a1","Tnfrsf10b"
"COL3A1_DDR1","Col3a1","Ddr1"
"COL3A1_DDR2","Col3a1","Ddr2"
"COL3A1_MAG","Col3a1","Mag"
"COL4A1_CD93","Col4a1","Cd93"
"COL4A1_ITGA1","Col4a1","Itga1"
"COL4A1_ITGAV","Col4a1","Itgav"
"COL4A1_ITGB1","Col4a1","Itgb1"
"COL4A1_ITGB8","Col4a1","Itgb8"
"COL4A2_CD93","Col4a2","Cd93"
"COL4A3_CD47","Col4a3","Cd47"
"COL4A3_CD93","Col4a3","Cd93"
"COL4A3_ITGAV","Col4a3","Itgav"
"COL4A4_CD93","Col4a4","Cd93"
"COL4A5_CD93","Col4a5","Cd93"
"COL4A6_CD93","Col4a6","Cd93"
"COL5A1_SDC3","Col5a1","Sdc3"
"COL5A2_DDR1","Col5a2","Ddr1"
"COL5A3_SDC3","Col5a3","Sdc3"
"COL8A1_ITGA1","Col8a1","Itga1"
"COL8A1_ITGA2","Col8a1","Itga2"
"COL9A1_MAG","Col9a1","Mag"
"COL9A2_MAG","Col9a2","Mag"
"COL9A3_MAG","Col9a3","Mag"
"CORT_GHSR","Cort","Ghsr"
"CORT_SSTR1","Cort","Sstr1"
"CORT_SSTR2","Cort","Sstr2"
"CORT_SSTR3","Cort","Sstr3"
"CORT_SSTR4","Cort","Sstr4"
"CORT_SSTR5","Cort","Sstr5"
"CP_SLC40A1","Cp","Slc40a1"
"CRH_CRHR1","Crh","Crhr1"
"CRH_CRHR2","Crh","Crhr2"
"CRH_MC2R","Crh","Mc2r"
"CRP_OLR1","Crp","Olr1"
"CSF1_CSF1R","Csf1","Csf1r"
"CSF2_CSF1R","Csf2","Csf1r"
"CSF2_CSF2RA","Csf2","Csf2ra"
"CSF2_CSF3R","Csf2","Csf3r"
"CSF2_IL3RA","Csf2","Il3ra"
"CSF2_SDC2","Csf2","Sdc2"
"CSF3_CSF1R","Csf3","Csf1r"
"CSF3_CSF3R","Csf3","Csf3r"
"CSHL1_PRLR","Gh","Prlr"
"CTF1_IL6ST","Ctf1","Il6st"
"CTF1_LIFR","Ctf1","Lifr"
"CTGF_ERBB4","Ctgf","Erbb4"
"CTGF_ITGA5","Ctgf","Itga5"
"CTGF_ITGAM","Ctgf","Itgam"
"CTGF_ITGB2","Ctgf","Itgb2"
"CTGF_LRP1","Ctgf","Lrp1"
"CTGF_LRP6","Ctgf","Lrp6"
"CTGF_NTRK1","Ctgf","Ntrk1"
"CTHRC1_FZD3","Cthrc1","Fzd3"
"CTHRC1_FZD5","Cthrc1","Fzd5"
"CTHRC1_FZD6","Cthrc1","Fzd6"
"CUBN_LRP2","Cubn","Lrp2"
"CX3CL1_CX3CR1","Cx3cl1","Cx3cr1"
"CXCL10_CCR3","Cxcl10","Ccr3"
"CXCL10_CXCR3","Cxcl10","Cxcr3"
"CXCL10_SDC4","Cxcl10","Sdc4"
"CXCL12_ACKR3","Cxcl12","Ackr3"
"CXCL12_CD4","Cxcl12","Cd4"
"CXCL12_CXCR3","Cxcl12","Cxcr3"
"CXCL12_CXCR4","Cxcl12","Cxcr4"
"CXCL12_ITGB1","Cxcl12","Itgb1"
"CXCL13_ACKR4","Cxcl13","Ackr4"
"CXCL13_CCR10","Cxcl13","Ccr10"
"CXCL13_CXCR3","Cxcl13","Cxcr3"
"CXCL13_CXCR5","Cxcl13","Cxcr5"
"CXCL16_CXCR6","Cxcl16","Cxcr6"
"CXCL2_CXCR1","Cxcl1","Cxcr1"
"CXCL2_CXCR2","Cxcl1","Cxcr2"
"CXCL2_XCR1","Cxcl1","Xcr1"
"CXCL3_CXCR1","Cxcl2","Cxcr1"
"CXCL3_CXCR2","Cxcl2","Cxcr2"
"CXCL6_CXCR1","Cxcl5","Cxcr1"
"CXCL6_CXCR2","Cxcl5","Cxcr2"
"CYR61_ITGA5","Cyr61","Itga5"
"CYR61_ITGAM","Cyr61","Itgam"
"CYR61_ITGAV","Cyr61","Itgav"
"CYR61_ITGB2","Cyr61","Itgb2"
"CYR61_ITGB3","Cyr61","Itgb3"
"CYR61_ITGB5","Cyr61","Itgb5"
"DCN_EGFR","Dcn","Egfr"
"DCN_ERBB4","Dcn","Erbb4"
"DCN_MET","Dcn","Met"
"DHH_BOC","Dhh","Boc"
"DHH_CDON","Dhh","Cdon"
"DHH_HHIP","Dhh","Hhip"
"DHH_PTCH1","Dhh","Ptch1"
"DHH_PTCH2","Dhh","Ptch2"
"DKK1_KREMEN1","Dkk1","Kremen1"
"DKK1_KREMEN2","Dkk1","Kremen2"
"DKK1_LRP5","Dkk1","Lrp5"
"DKK1_LRP6","Dkk1","Lrp6"
"DKK2_KREMEN2","Dkk2","Kremen2"
"DKK2_LRP6","Dkk2","Lrp6"
"DLK1_NOTCH1","Dlk1","Notch1"
"DLK2_NOTCH1","Dlk2","Notch1"
"DLL1_NOTCH1","Dll1","Notch1"
"DLL1_NOTCH2","Dll1","Notch2"
"DLL1_NOTCH3","Dll1","Notch3"
"DLL4_NOTCH1","Dll4","Notch1"
"DLL4_NOTCH2","Dll4","Notch2"
"DLL4_NOTCH3","Dll4","Notch3"
"DLL4_NOTCH4","Dll4","Notch4"
"EBI3_IL27RA","Ebi3","Il27ra"
"EDIL3_ITGAV","Edil3","Itgav"
"EDN1_EDNRA","Edn1","Ednra"
"EDN1_EDNRB","Edn1","Ednrb"
"EDN1_KEL","Edn1","Kel"
"EDN2_EDNRA","Edn2","Ednra"
"EDN2_EDNRB","Edn2","Ednrb"
"EDN2_KEL","Edn2","Kel"
"EDN3_EDNRA","Edn3","Ednra"
"EDN3_EDNRB","Edn3","Ednrb"
"EDN3_KEL","Edn3","Kel"
"EFEMP1_EGFR","Efemp1","Egfr"
"EFEMP2_AQP1","Efemp2","Aqp1"
"EFEMP2_CATSPER1","Efemp2","Catsper1"
"EFEMP2_LINGO1","Efemp2","Lingo1"
"EFEMP2_PLSCR4","Efemp2","Plscr4"
"EFNA1_EPHA1","Efna1","Epha1"
"EFNA1_EPHA2","Efna1","Epha2"
"EFNA1_EPHA3","Efna1","Epha3"
"EFNA1_EPHA4","Efna1","Epha4"
"EFNA1_EPHA5","Efna1","Epha5"
"EFNA1_EPHA6","Efna1","Epha6"
"EFNA1_EPHA7","Efna1","Epha7"
"EFNA1_EPHA8","Efna1","Epha8"
"EFNA1_EPHB1","Efna1","Ephb1"
"EFNA2_EPHA2","Efna2","Epha2"
"EFNA2_EPHA3","Efna2","Epha3"
"EFNA2_EPHA4","Efna2","Epha4"
"EFNA2_EPHA5","Efna2","Epha5"
"EFNA2_EPHA6","Efna2","Epha6"
"EFNA2_EPHA7","Efna2","Epha7"
"EFNA2_EPHA8","Efna2","Epha8"
"EFNA3_EPHA1","Efna3","Epha1"
"EFNA3_EPHA2","Efna3","Epha2"
"EFNA3_EPHA3","Efna3","Epha3"
"EFNA3_EPHA4","Efna3","Epha4"
"EFNA3_EPHA5","Efna3","Epha5"
"EFNA3_EPHA6","Efna3","Epha6"
"EFNA3_EPHA7","Efna3","Epha7"
"EFNA3_EPHA8","Efna3","Epha8"
"EFNA3_EPHB1","Efna3","Ephb1"
"EFNA4_EPHA2","Efna4","Epha2"
"EFNA4_EPHA3","Efna4","Epha3"
"EFNA4_EPHA4","Efna4","Epha4"
"EFNA4_EPHA5","Efna4","Epha5"
"EFNA4_EPHA6","Efna4","Epha6"
"EFNA4_EPHA7","Efna4","Epha7"
"EFNA4_EPHA8","Efna4","Epha8"
"EFNA5_EPHA2","Efna5","Epha2"
"EFNA5_EPHA3","Efna5","Epha3"
"EFNA5_EPHA4","Efna5","Epha4"
"EFNA5_EPHA5","Efna5","Epha5"
"EFNA5_EPHA6","Efna5","Epha6"
"EFNA5_EPHA7","Efna5","Epha7"
"EFNA5_EPHA8","Efna5","Epha8"
"EFNA5_EPHB1","Efna5","Ephb1"
"EFNA5_EPHB2","Efna5","Ephb2"
"EFNA5_EPHB6","Efna5","Ephb6"
"EFNB1_EPHB1","Efnb1","Ephb1"
"EFNB1_EPHB2","Efnb1","Ephb2"
"EFNB1_EPHB3","Efnb1","Ephb3"
"EFNB1_EPHB4","Efnb1","Ephb4"
"EFNB1_EPHB6","Efnb1","Ephb6"
"EFNB1_ERBB2","Efnb1","Erbb2"
"EFNB2_EPHA3","Efnb2","Epha3"
"EFNB2_EPHA4","Efnb2","Epha4"
"EFNB2_EPHA6","Efnb2","Epha6"
"EFNB2_EPHB1","Efnb2","Ephb1"
"EFNB2_EPHB2","Efnb2","Ephb2"
"EFNB2_EPHB3","Efnb2","Ephb3"
"EFNB2_EPHB4","Efnb2","Ephb4"
"EFNB2_EPHB6","Efnb2","Ephb6"
"EFNB2_GRM1","Efnb2","Grm1"
"EFNB2_GRM5","Efnb2","Grm5"
"EFNB2_PECAM1","Efnb2","Pecam1"
"EFNB2_RHBDL2","Efnb2","Rhbdl2"
"EFNB3_EPHA4","Efnb3","Epha4"
"EFNB3_EPHB2","Efnb3","Ephb2"
"EFNB3_EPHB3","Efnb3","Ephb3"
"EFNB3_EPHB4","Efnb3","Ephb4"
"EFNB3_RHBDL2","Efnb3","Rhbdl2"
"EGF_EGFR","Egf","Egfr"
"EGF_ERBB2","Egf","Erbb2"
"EGF_ERBB3","Egf","Erbb3"
"EGF_ERBB4","Egf","Erbb4"
"EPGN_EGFR","Epgn","Egfr"
"EPO_EPOR","Epo","Epor"
"EREG_EGFR","Ereg","Egfr"
"EREG_ERBB4","Ereg","Erbb4"
"F10_F3","F10","F3"
"F11_GP1BA","F11","Gp1ba"
"F12_CD93","F12","Cd93"
"F12_GP1BA","F12","Gp1ba"
"F13A1_ITGA4","F13a1","Itga4"
"F13A1_ITGA9","F13a1","Itga9"
"F13A1_ITGB1","F13a1","Itgb1"
"F2_F2R","F2","F2r"
"F2_F2RL1","F2","F2rl1"
"F2_F2RL2","F2","F2rl2"
"F2_F2RL3","F2","F2rl3"
"F2_GP1BA","F2","Gp1ba"
"F2_GP9","F2","Gp9"
"F2_ITGA2B","F2","Itga2b"
"F2_THBD","F2","Thbd"
"F7_F3","F7","F3"
"F8_ASGR2","F8","Asgr2"
"F8_LDLR","F8","Ldlr"
"F8_LRP1","F8","Lrp1"
"F9_LRP1","F9","Lrp1"
"FASLG_FAS","Fasl","Fas"
"FAT4_DCHS1","Fat4","Dchs1"
"FBLN1_ITGB1","Fbln1","Itgb1"
"FBLN2_ITGB3","Fbln2","Itgb3"
"FBN1_ITGA5","Fbn1","Itga5"
"FBN1_ITGAV","Fbn1","Itgav"
"FBN1_ITGB1","Fbn1","Itgb1"
"FBN1_ITGB3","Fbn1","Itgb3"
"FGA_CDH5","Fga","Cdh5"
"FGA_ITGA2B","Fga","Itga2b"
"FGA_ITGA5","Fga","Itga5"
"FGA_ITGAM","Fga","Itgam"
"FGA_ITGAV","Fga","Itgav"
"FGA_ITGAX","Fga","Itgax"
"FGA_ITGB1","Fga","Itgb1"
"FGA_ITGB2","Fga","Itgb2"
"FGA_ITGB3","Fga","Itgb3"
"FGB_ITGA2B","Fgb","Itga2b"
"FGB_ITGA5","Fgb","Itga5"
"FGB_ITGAM","Fgb","Itgam"
"FGB_ITGAV","Fgb","Itgav"
"FGB_ITGB1","Fgb","Itgb1"
"FGB_ITGB2","Fgb","Itgb2"
"FGF10_FGFR2","Fgf10","Fgfr2"
"FGF13_SCN5A","Fgf13","Scn5a"
"FGF13_SCN8A","Fgf13","Scn8a"
"FGF16_FGFR2","Fgf16","Fgfr2"
"FGF16_FGFR3","Fgf16","Fgfr3"
"FGF16_FGFR4","Fgf16","Fgfr4"
"FGF17_FGFR1","Fgf17","Fgfr1"
"FGF17_FGFR2","Fgf17","Fgfr2"
"FGF17_FGFR3","Fgf17","Fgfr3"
"FGF17_FGFR4","Fgf17","Fgfr4"
"FGF18_FGFR1","Fgf18","Fgfr1"
"FGF18_FGFR2","Fgf18","Fgfr2"
"FGF18_FGFR3","Fgf18","Fgfr3"
"FGF18_FGFR4","Fgf18","Fgfr4"
"FGF19_FGFR1","Fgf15","Fgfr1"
"FGF19_FGFR2","Fgf15","Fgfr2"
"FGF19_FGFR3","Fgf15","Fgfr3"
"FGF19_FGFR4","Fgf15","Fgfr4"
"FGF19_KLB","Fgf15","Klb"
"FGF1_FGFR1","Fgf1","Fgfr1"
"FGF1_FGFR2","Fgf1","Fgfr2"
"FGF1_FGFR3","Fgf1","Fgfr3"
"FGF1_FGFR4","Fgf1","Fgfr4"
"FGF1_NRP1","Fgf1","Nrp1"
"FGF20_FGFR4","Fgf20","Fgfr4"
"FGF21_FGFR4","Fgf21","Fgfr4"
"FGF22_FGFR2","Fgf22","Fgfr2"
"FGF23_FGFR1","Fgf23","Fgfr1"
"FGF23_FGFR2","Fgf23","Fgfr2"
"FGF23_FGFR3","Fgf23","Fgfr3"
"FGF23_FGFR4","Fgf23","Fgfr4"
"FGF23_PHEX","Fgf23","Phex"
"FGF2_CD44","Fgf2","Cd44"
"FGF2_FGFR1","Fgf2","Fgfr1"
"FGF2_FGFR2","Fgf2","Fgfr2"
"FGF2_FGFR3","Fgf2","Fgfr3"
"FGF2_FGFR4","Fgf2","Fgfr4"
